MicrosigaPN;OraclePN;PT Description;NCM;IPI;PIS;COFINS;Fator 18;Fator 12;Fator 7;Fator 4
1C031852-150;1C031852-150;ELEMENTO FILTRANTE SRF 15/30, G2                  ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C031892-05;1C031892-05;ELEMENTO FILTRANTE P-GSLN 05 20 5MIC EPDM         ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C032474N;1C032474N;ELEMENTO FILTRANTE FF N 21/3 2IN. S K 330 AO      ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C036656-05R;1C036656-05R;ELEMENTO FILTRANTE PARA GASES IND                 ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C044054DBLC384;1F1C044054DBLC384;CARCACA P-BE 0576 TC 1.4404                       ;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
1C051070-17;1C051070-17;CARCACA DE FILTRO HD 0003, ACO INOXIDAVEL, PN25, 5;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
1C051163;1C051163;CARCACA HD 0012 BSP PN40                          ;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
1C051164;1C051164;CARCACA DE ALTA PRESSAO  HD 0018 - 40 BAR         ;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
1C051165;1C051165;CAIXA DE FILTRO HD 0027 BSP PN40 ALUMINIO         ;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
1C051173;1C051173;CARCACA PARA FILTRO HD 0012 BSP PN40, 1.4301, ART.;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
1C051263;1C051263;CARCACA HD 0012 BSP PN64, ALUMINIUM, ART.4/3      ;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
1C051267;1C051267;CARCACA PARA FILTRO HD 0048 BSP PN64, ALUMINIUM, C;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
1C051673;1C051673;CARCACA PARA FILTRO HD 0012 BSP PN100, 1.4571, ART;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
1C053011;1C053011;CARCACA DFX0070                                   ;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
1C053013;1C053013;CARCACA DFX0210 G1 BSP                            ;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
1C053016;1C053016;CARCACA DFX0600 G2 BSP                            ;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
1C072303DBLVT;1F1C072303DBLVT;KIT REPARO CARCACA 1C072303DBLC017                ;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
1C072306DBLC013;1F1C072306DBLC013;CARCACA P/ VAPOR P-EGS 0010                       ;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
1C072306DBLF013;1F1C072306DBLF013;FILTRO DE VAPOR CULINARIO P-EGS + P-GSL N + PURGAD;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C072397-14DBLC;1F1C072397-14DBLC;FILTER P-EG P-EG 0192 N NPT                       ;84213990;0;1,65;7,6;0,8276;0,8276;0,8609;0,8712
1C072501DBC278;1F1C072501DBC278;CARCACA PARA  LIQUIDOS BH101 SIZE 1               ;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
1C072501DBC371;1F1C072501DBC371;CARCACA TIPO BAG BH101 SIZE 1                     ;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
1C072600DBLC275;1F1C072600DBLC275;CARCACA PARA  LIQUIDOS PF-EG 320 2TC              ;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
1C072600DBLC289;1F1C072600DBLC289;CARCACA  PF-EG 0320 4 150LBS P7 - 20              ;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
1C072600DBLC354;1F1C072600DBLC354;CARCACA  PF-EG 0320 1.1/2TC P7                    ;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
1C072601DBLC277;1F1C072601DBLC277;CARCACA SANITARIO PARA LQUIDOS PF-EG 0330 1.1/2 D ;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
1C072610DBLC106;1F1C072610DBLC106;CARCACA PF-EG 1230                                ;84219999;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
1C073126DBLC153;1F1C073126DBLC153;CARCACA PF-EG 0025 1 TC                           ;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
1C073126DBLC154;1F1C073126DBLC154;CARCACA  PF-EG 0025 1TC                          ;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
1C073126DBLC256;1F1C073126DBLC256;CARCACA PF-EG 0025 01TC                           ;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
1C073126DBLC290;1F1C073126DBLC290;CARCACA  PF-EG 0025 1.1/2TC                      ;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
1C073126DBLC291;1F1C073126DBLC291;CARCACA  PF-EG 0025 3/4TC                        ;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
1C073126DBLC292;1F1C073126DBLC292;CARCACA  PF-EG 0025 1.1/2TC                      ;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
