MicrosigaPN;OraclePN;PT Description;NCM;IPI;PIS;COFINS;Fator 18;Fator 12;Fator 7;Fator 4
P034077-016-436;P034077-016-436;ELEMENTO FILTRANTE PARA GASES IND;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
P034077-016-436;P034077-016-436;ELEMENTO FILTRANTE PARA GASES IND;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
P034077-016-436;P034077-016-436;ELEMENTO FILTRANTE PARA GASES IND;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
P034077-016-436;P034077-016-436;ELEMENTO FILTRANTE PARA GASES IND;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
P034077-016-436;P034077-016-436;ELEMENTO FILTRANTE PARA GASES IND;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
P034077-016-436;P034077-016-436;ELEMENTO FILTRANTE PARA GASES IND;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
P042176-016-192;P042176-016-192;84493218 - Elemento filtrante de ar;84219999;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
P034077-016-436;P034077-016-436;ELEMENTO FILTRANTE PARA GASES IND;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
P034077-016-436;P034077-016-436;ELEMENTO FILTRANTE PARA GASES IND;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
P034077-016-436;P034077-016-436;ELEMENTO FILTRANTE PARA GASES IND;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
P034077-016-436;P034077-016-436;ELEMENTO FILTRANTE PARA GASES IND;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
P034077-016-436;P034077-016-436;ELEMENTO FILTRANTE PARA GASES IND;84219910;0,052;1,65;7,6;0,7442;0,7986;0,844;0,8712
